Provinsi,Tahun,Persentase_Penduduk_Miskin,IPM,Rata_Rata_Lama_Sekolah,IPM_Norm,RLS_Norm,Prediksi_Kemiskinan_AI,Score_Poverty,Score_IPM_Inv,Score_RLS_Inv,Skor_Prioritas_Bansos
MALUKU,2022,15.97,70.22,10.19,0.5664194200944033,0.8214285714285712,15.896000000000013,0.423728813559322,0.43358057990559673,0.17857142857142883,0.37765286646562574
MALUKU,2023,16.42,70.94,10.2,0.5906945380984492,0.8228021978021975,15.312000000000005,0.4389830508474577,0.4093054619015508,0.17719780219780246,0.3777227244337546
MALUKU,2024,16.05,71.57,10.26,0.611935266351989,0.831043956043956,15.462599999999984,0.42644067796610163,0.388064733648011,0.16895604395604402,0.3634309678686629
MALUKU UTARA,2019,6.77,68.7,9.0,0.5151719487525288,0.6579670329670328,7.722399999999988,0.111864406779661,0.4848280512474712,0.34203296703296715,0.2697872121706653
MALUKU UTARA,2020,6.78,68.49,9.04,0.5080917060013486,0.6634615384615383,7.946199999999985,0.11220338983050848,0.49190829399865144,0.3365384615384617,0.270981875422542
MALUKU UTARA,2021,6.89,68.76,9.09,0.5171948752528659,0.6703296703296702,7.555299999999988,0.11593220338983048,0.4828051247471341,0.32967032967032983,0.26874170505312145
MALUKU UTARA,2022,6.23,69.47,9.24,0.5411328388401888,0.6909340659340659,6.898800000000005,0.0935593220338983,0.4588671611598112,0.3090659340659341,0.24625299617807933
MALUKU UTARA,2023,6.46,70.21,9.26,0.5660822656776803,0.6936813186813187,7.081100000000003,0.10135593220338981,0.4339177343223197,0.30631868131868134,0.2421170226621271
MALUKU UTARA,2024,6.32,71.03,9.37,0.5937289278489548,0.7087912087912085,7.5623000000000085,0.09661016949152543,0.4062710721510452,0.2912087912087915,0.22842816463283458
NUSA TENGGARA BARAT,2019,14.56,68.14,7.27,0.4962913014160486,0.42032967032967017,13.51869999999999,0.37593220338983047,0.5037086985839514,0.5796703296703298,0.4550127772041666
NUSA TENGGARA BARAT,2020,13.97,68.25,7.31,0.4999999999999998,0.42582417582417564,13.356700000000012,0.35593220338983056,0.5000000000000002,0.5741758241758244,0.44280126653008023
NUSA TENGGARA BARAT,2021,14.14,68.65,7.38,0.5134861766689147,0.43543956043956045,12.372900000000007,0.36169491525423725,0.4865138233310853,0.5645604395604396,0.4397136925385321
NUSA TENGGARA BARAT,2022,13.68,69.46,7.61,0.5407956844234658,0.46703296703296693,11.683599999999997,0.3461016949152542,0.4592043155765342,0.5329670329670331,0.417405548723994
NUSA TENGGARA BARAT,2023,13.85,70.2,7.74,0.5657451112609577,0.48489010989010994,12.409000000000002,0.351864406779661,0.4342548887390423,0.5151098901098901,0.40923064803352116
NUSA TENGGARA BARAT,2024,12.91,70.93,7.87,0.5903573836817266,0.5027472527472527,11.043699999999996,0.31999999999999995,0.40964261631827337,0.49725274725274726,0.3823433343460314
NUSA TENGGARA TIMUR,2019,21.09,65.23,7.55,0.3981793661496964,0.4587912087912087,21.229399999999973,0.5972881355932202,0.6018206338503036,0.5412087912087913,0.5874320161934595
NUSA TENGGARA TIMUR,2020,20.9,65.19,7.63,0.39683074848280486,0.46978021978021967,21.074700000000007,0.5908474576271185,0.6031692515171951,0.5302197802197803,0.5824184603126739
NUSA TENGGARA TIMUR,2021,20.99,65.28,7.69,0.39986513823331093,0.4780219780219781,21.14339999999999,0.5938983050847457,0.6001348617666891,0.5219780219780219,0.5813852154679839
NUSA TENGGARA TIMUR,2022,20.05,65.9,7.7,0.4207687120701282,0.47939560439560425,17.952999999999985,0.5620338983050848,0.5792312879298718,0.5206043956043958,0.5589072146523831
NUSA TENGGARA TIMUR,2023,19.96,66.68,7.82,0.4470667565745112,0.4958791208791209,19.023000000000014,0.5589830508474576,0.5529332434254888,0.5041208791208791,0.5461956742755513
NUSA TENGGARA TIMUR,2024,19.48,67.39,8.02,0.47100472016183415,0.5233516483516483,16.79390000000001,0.5427118644067797,0.5289952798381659,0.47664835164835173,0.5253841864845099
